date,SGS,SWISSCOM,GIVAUDAN,ZURICH INSURANCE,NOVARTIS,ROCHE,CREDIT SUISSE,ADECCO,LAFARGEHOLCIM,ABB,SWATCH,LONZA,SWISS LIFE,GEBERIT,NESTLE,JULIUS BAER,SWISS RE,RICHEMONT,UBS,SIKA,SMI
2016-01-01,1911,503.0,1823,258.4,86.8,276.4,20.929000000000002,68.047,50.3,17.96,350.2,151.078,271.3,340.2,74.55,48.66,98.15,72.1,19.52,60.335,8818.09
2016-01-08,1757,488.3,1714,241.4,82.1,263.0,19.028,62.368,46.0,16.43,315.0,143.668,257.2,318.1,70.3,44.18,93.25,66.05,17.46,58.583999999999996,8257.28
2016-01-15,1770,478.2,1772,242.8,80.35,256.5,18.054000000000002,59.356,42.26,16.18,318.7,138.017,262.3,332.3,70.1,42.02,92.6,63.1,16.71,58.451,8107.13
2016-01-22,1932,489.0,1812,224.4,82.9,265.3,17.359,60.836999999999996,44.12,16.77,328.2,143.575,256.8,342.4,72.1,42.59,92.6,64.35,16.83,58.818000000000005,8271.11
2016-01-29,1983,507.5,1907,225.8,78.5,263.9,17.369,61.726000000000006,42.92,17.57,348.4,144.779,259.6,361.8,75.2,43.25,94.8,66.25,16.83,60.951,8319.81
2016-02-05,1982,482.5,1855,213.4,73.9,252.2,14.425999999999998,59.108999999999995,39.01,17.6,356.0,135.79399999999998,241.7,354.3,73.35,39.62,89.65,65.5,15.21,60.518,7960.13
2016-02-12,1870,467.9,1765,205.6,70.9,244.3,12.64,53.13399999999999,35.34,16.57,324.0,127.921,224.8,345.4,71.9,38.34,86.0,62.4,14.5,58.851000000000006,7656.6
2016-02-19,1978,482.7,1870,212.8,73.2,255.7,12.64,57.628,37.99,17.73,341.6,136.44299999999998,237.8,359.5,70.85,40.39,91.65,65.0,14.79,64.15100000000001,7863.36
2016-02-26,2016,490.0,1878,213.9,72.05,260.1,13.171,57.776,39.34,17.79,344.5,140.611,241.2,357.9,70.45,40.42,89.0,63.5,15.31,62.335,7877.03
2016-03-04,2025,498.6,1870,225.1,71.65,250.7,14.908,60.986000000000004,42.87,18.3,357.9,143.112,257.4,363.5,71.5,43.27,90.1,65.55,16.47,63.935,7982.57
